link,title,property_id,postcode-L1,postcode-L2,price-monthly,bed,bath,max-tenants,list-date,let-agreed,Furnishing,EPC Rating
https://www.openrent.co.uk/property-to-rent/reading/1-bed-flat-debeauvoir-road-rg1/1609878,"1 Bed Flat, Debeauvoir Road, RG1",1609878,RG1,205NX,850.00,1,1,2,20230126,20230130,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-hamlet-gardens-w6/1609880,"1 Bed Flat, Hamlet Gardens, W6",1609880,W6,200TS,"2,708.33",1,1,1,20230126,,At tenant choice,C
https://www.openrent.co.uk/property-to-rent/blackburn/4-bed-terraced-house-wilton-close-bb2/1609884,"4 Bed Terraced House, Wilton Close, BB2",1609884,BB2,207FE,"1,250.00",4,3,8,20230126,20230208,Furnished,D
https://www.openrent.co.uk/property-to-rent/coatbridge/room-in-a-shared-flat-kirkshaws-ml5/1609885,"Room in a Shared Flat, Kirkshaws, ML5",1609885,ML5,205DE,390.00,4,2,1,20230126,20230214,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-w6-0sp-w6/1609889,"3 Bed Flat, W6 0Sp, W6",1609889,W6,209UF,"5,720.00",3,2,3,20230126,,At tenant choice,E
https://www.openrent.co.uk/property-to-rent/london/bedsit-lena-gardens-w6/1609891,"Bedsit, Lena Gardens, W6",1609891,W6,207PY,912.00,1,1,1,20230126,20230222,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/stourbridge/1-bed-flat-stanford-house-dy8/1609892,"1 Bed Flat, Stanford House, DY8",1609892,DY8,201FD,725.00,1,1,2,20230126,,Furnished,C
https://www.openrent.co.uk/property-to-rent/rugby/1-bed-flat-broadwell-cv23/1609896,"1 Bed Flat, Broadwell, CV23",1609896,CV23,208HD,745.00,1,1,2,20230126,,At tenant choice,D
https://www.openrent.co.uk/property-to-rent/buxton/1-bed-flat-bath-road-sk17/1609899,"1 Bed Flat, Bath Road, SK17",1609899,SK17,206HH,595.00,1,1,1,20230126,20230210,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-hamlet-gardens-w6-0sp-w6/1609900,"3 Bed Flat, Hamlet Gardens W6 0Sp, W6",1609900,W6,200SP,"4,788.33",3,2,3,20230126,,At tenant choice,E
https://www.openrent.co.uk/property-to-rent/norwich/3-bed-terraced-house-muriel-road-nr2/1609901,"3 Bed Terraced House, Muriel Road, NR2",1609901,NR2,203NY,995.00,3,1,3,20230126,,At tenant choice,D
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-musard-road-w6/1609903,"2 Bed Flat, Musard Road, W6",1609903,W6,208NW,"2,300.00",2,2,2,20230126,20230131,Furnished,D
https://www.openrent.co.uk/property-to-rent/colchester/3-bed-semi-detached-house-greenstead-road-co1/1609906,"3 Bed Semi-Detached House, Greenstead Road, CO1",1609906,CO1,202SQ,"1,350.00",3,2,6,20230126,20230223,Furnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/weybridge/2-bed-maisonette-castle-view-road-kt13/1609908,"2 Bed Maisonette, Castle View Road, KT13",1609908,KT13,209AB,"1,700.00",2,1,3,20230126,20230212,Unfurnished,E
https://www.openrent.co.uk/property-to-rent/nottingham/room-in-a-shared-house-ellerby-avenue-ng11/1609914,"Room in a Shared House, Ellerby Avenue, NG11",1609914,NG11,208FB,500.00,3,11,3,20230202,20230222,Furnished,Shared Accommodation
